"book_name","genre","original_language","pages_number","writing_year"
Хаджи-Мурат,Повесть,Русский,274,1904
Кавказский пленник,Детская литература,Русский,165,1872
Севастопольские рассказы,Драма,Русский,354,1855
Крейцерова соната,Драма,Русский,254,1889
Казаки,Повесть,Русский,341,1863
Отец Сергий,Повесть,Русский,312,1911
Палата № 6,Повесть,Русский,344,1892
Драма на охоте,Повесть,Русский,341,1885
Рассказы,Сборник,Русский,295,1885
Вишневый сад,Комедия,Русский,312,1903
Дядя Ваня,Драма,Русский,352,1896
Чайка,Комедия,Русский,254,1896
Три сестры,Драма,Русский,242,1900
Дама с собачкой,Рассказ,Русский,212,1899
Архиерей,Рассказ,Русский,212,1902
Каштанка,Детская литература,Русский,292,1887
